                                        ,Always Cooperate                        ,Always Cooperate                        
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
Total,1500,1500

                                        ,Always Cooperate                        ,Random                                  
,c,c
,c,d
,c,d
,c,d
,c,d
,c,c
,c,c
,c,d
,c,c
,c,c
,c,c
,c,d
,c,d
,c,c
,c,c
,c,d
,c,d
,c,c
,c,d
,c,d
,c,c
,c,d
,c,c
,c,d
,c,d
,c,c
,c,d
,c,d
,c,c
,c,d
,c,d
,c,c
,c,d
,c,d
,c,d
,c,c
,c,c
,c,d
,c,c
,c,c
,c,d
,c,d
,c,c
,c,d
,c,d
,c,d
,c,c
,c,c
,c,c
,c,d
,c,d
,c,c
,c,c
,c,d
,c,c
,c,c
,c,c
,c,c
,c,d
,c,c
,c,c
,c,d
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,d
,c,c
,c,c
,c,c
,c,d
,c,c
,c,d
,c,d
,c,c
,c,d
,c,c
,c,d
,c,c
,c,c
,c,c
,c,d
,c,c
,c,d
,c,d
,c,c
,c,c
,c,d
,c,d
,c,c
,c,c
,c,d
,c,d
,c,d
,c,c
,c,d
,c,d
,c,c
,c,d
,c,c
,c,d
,c,c
,c,d
,c,c
,c,d
,c,c
,c,c
,c,d
,c,c
,c,c
,c,c
,c,d
,c,c
,c,d
,c,d
,c,c
,c,c
,c,c
,c,c
,c,c
,c,d
,c,d
,c,d
,c,c
,c,c
,c,c
,c,d
,c,c
,c,c
,c,c
,c,d
,c,c
,c,c
,c,c
,c,c
,c,c
,c,d
,c,d
,c,c
,c,d
,c,c
,c,d
,c,d
,c,d
,c,c
,c,d
,c,d
,c,c
,c,d
,c,c
,c,d
,c,c
,c,c
,c,d
,c,d
,c,d
,c,c
,c,d
,c,d
,c,c
,c,c
,c,c
,c,c
,c,c
,c,d
,c,d
,c,d
,c,c
,c,c
,c,c
,c,d
,c,c
,c,d
,c,c
,c,c
,c,c
,c,c
,c,c
,c,d
,c,c
,c,c
,c,c
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,c
,c,d
,c,d
,c,c
,c,d
,c,c
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,c
,c,c
,c,d
,c,c
,c,c
,c,c
,c,c
,c,d
,c,d
,c,d
,c,d
,c,c
,c,d
,c,c
,c,c
,c,c
,c,d
,c,d
,c,d
,c,c
,c,c
,c,c
,c,c
,c,c
,c,d
,c,c
,c,d
,c,d
,c,d
,c,c
,c,c
,c,c
,c,d
,c,d
,c,c
,c,d
,c,d
,c,d
,c,c
,c,c
,c,c
,c,c
,c,d
,c,c
,c,c
,c,d
,c,d
,c,c
,c,d
,c,c
,c,d
,c,c
,c,d
,c,d
,c,c
,c,d
,c,d
,c,d
,c,d
,c,d
,c,c
,c,d
,c,c
,c,d
,c,c
,c,d
,c,c
,c,c
,c,d
,c,d
,c,d
,c,c
,c,c
,c,c
,c,d
,c,c
,c,c
,c,c
,c,c
,c,d
,c,c
,c,c
,c,c
,c,c
,c,d
,c,d
,c,d
,c,c
,c,c
,c,d
,c,c
,c,c
,c,d
,c,c
,c,d
,c,c
,c,c
,c,d
,c,d
,c,d
,c,d
,c,c
,c,c
,c,c
,c,d
,c,d
,c,d
,c,c
,c,c
,c,c
,c,d
,c,d
,c,c
,c,c
,c,c
,c,c
,c,d
,c,c
,c,c
,c,d
,c,c
,c,c
,c,d
,c,c
,c,d
,c,c
,c,d
,c,d
,c,d
,c,d
,c,c
,c,d
,c,c
,c,c
,c,c
,c,d
,c,c
,c,c
,c,d
,c,d
,c,c
,c,c
,c,c
,c,d
,c,d
,c,c
,c,d
,c,c
,c,d
,c,d
,c,d
,c,d
,c,c
,c,d
,c,c
,c,d
,c,c
,c,c
,c,c
,c,c
,c,c
,c,d
,c,c
,c,d
,c,d
,c,c
,c,d
,c,d
,c,d
,c,c
,c,c
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,c
,c,d
,c,d
,c,c
,c,c
,c,d
,c,d
,c,c
,c,d
,c,d
,c,c
,c,c
,c,c
,c,c
,c,d
,c,c
,c,d
,c,d
,c,c
,c,c
,c,c
,c,c
,c,d
,c,c
,c,c
,c,d
,c,d
,c,c
,c,d
,c,d
,c,d
,c,d
,c,d
,c,c
,c,d
,c,c
,c,d
,c,c
,c,d
,c,d
,c,c
,c,c
,c,d
,c,c
,c,d
,c,d
,c,d
,c,d
,c,c
,c,c
,c,d
,c,d
,c,c
,c,d
,c,d
,c,c
,c,c
,c,c
,c,c
,c,d
,c,c
,c,c
,c,c
,c,d
,c,c
,c,c
,c,c
,c,d
,c,d
,c,c
,c,d
,c,c
,c,c
,c,d
,c,d
,c,d
,c,c
,c,c
,c,d
,c,d
,c,c
,c,c
,c,c
,c,c
,c,c
,c,d
,c,d
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,d
,c,c
,c,c
,c,d
,c,c
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,c
,c,c
,c,d
,c,d
,c,c
,c,c
,c,c
,c,d
,c,d
,c,c
,c,d
,c,d
Total,774,1984

                                        ,Always Cooperate                        ,Suspicious Tit For Tat                  
,c,d
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
